Reached Threshold,Time Elapsed,Name,Iterations,Max Residual
False,238.9,/home/eric/Jasper/m33/AT0206/single_channels/channel_61/M33_b_c_LSRK_channel_61,17293.0,nan
False,410.43333333333334,/home/eric/Jasper/m33/AT0206/single_channels/channel_62/M33_b_c_LSRK_channel_62,17327.0,nan
False,5.5,/home/eric/Jasper/m33/AT0206/single_channels/channel_63/M33_b_c_LSRK_channel_63,nan,nan
True,284.6166666666667,/home/eric/Jasper/m33/AT0206/single_channels/channel_64/M33_b_c_LSRK_channel_64,101709.0,0.00217921
True,251.86666666666667,/home/eric/Jasper/m33/AT0206/single_channels/channel_65/M33_b_c_LSRK_channel_65,88993.0,0.00218092
False,386.6,/home/eric/Jasper/m33/AT0206/single_channels/channel_66/M33_b_c_LSRK_channel_66,12339.0,nan
False,303.15,/home/eric/Jasper/m33/AT0206/single_channels/channel_67/M33_b_c_LSRK_channel_67,11722.0,nan
True,211.45,/home/eric/Jasper/m33/AT0206/single_channels/channel_68/M33_b_c_LSRK_channel_68,72797.0,0.00219582
False,409.3666666666667,/home/eric/Jasper/m33/AT0206/single_channels/channel_69/M33_b_c_LSRK_channel_69,11235.0,nan
False,9.5,/home/eric/Jasper/m33/AT0206/single_channels/channel_70/M33_b_c_LSRK_channel_70,nan,nan
True,209.46666666666667,/home/eric/Jasper/m33/AT0206/single_channels/channel_71/M33_b_c_LSRK_channel_71,70850.0,0.00217525
False,287.55,/home/eric/Jasper/m33/AT0206/single_channels/channel_72/M33_b_c_LSRK_channel_72,12582.0,nan
False,265.85,/home/eric/Jasper/m33/AT0206/single_channels/channel_73/M33_b_c_LSRK_channel_73,13081.0,nan
False,6.166666666666667,/home/eric/Jasper/m33/AT0206/single_channels/channel_74/M33_b_c_LSRK_channel_74,nan,nan
True,168.35,/home/eric/Jasper/m33/AT0206/single_channels/channel_75/M33_b_c_LSRK_channel_75,59439.0,0.00219276
False,376.95,/home/eric/Jasper/m33/AT0206/single_channels/channel_76/M33_b_c_LSRK_channel_76,9759.0,nan
True,160.31666666666666,/home/eric/Jasper/m33/AT0206/single_channels/channel_77/M33_b_c_LSRK_channel_77,54007.0,0.00218109
False,201.2,/home/eric/Jasper/m33/AT0206/single_channels/channel_78/M33_b_c_LSRK_channel_78,8570.0,nan
